,Mkt-RF,SMB,HML,RF
197608,-0.56,-2.12,1.01,0.42
197609,2.01,-0.2,-0.16,0.44
197610,-2.45,0.13,-0.17,0.41
197611,0.16,2.25,1.54,0.4
197612,5.76,2.99,1.94,0.4
197701,-3.99,4.89,4.17,0.36
197702,-1.93,1.08,0.51,0.35
197703,-1.3,1.06,0.97,0.38
197704,0.12,-0.04,3.47,0.38
197705,-1.45,1.21,0.85,0.37
197706,4.74,2.02,-0.63,0.4
197707,-1.7,2.01,-0.17,0.42
197708,-1.78,1.49,-2.72,0.44
197709,-0.27,1.09,-0.08,0.43
197710,-4.42,1.38,1.39,0.49
197711,4.04,3.66,0.55,0.5
197712,0.33,1.36,-0.37,0.49
197801,-6.01,2.28,3.35,0.49
197802,-1.39,3.56,0.88,0.46
197803,2.87,3.22,1.42,0.53
197804,7.75,0.22,-3.66,0.54
197805,1.81,4.51,-0.74,0.51
197806,-1.62,1.39,0.85,0.54
197807,5.11,0.3,-1.33,0.56
197808,3.69,5.1,-0.3,0.55
197809,-1.31,-0.3,1.79,0.62
197810,-11.78,-9.95,1.54,0.68
197811,2.68,2.96,-2.3,0.7
197812,0.99,1.36,-2.19,0.78
197901,4.18,3.47,2.34,0.77
197902,-3.41,0.5,1.1,0.73
197903,5.75,2.86,-0.76,0.81
197904,0.05,2.13,1.19,0.8
197905,-2.18,0.13,1.12,0.82
197906,3.88,1.32,1.34,0.81
197907,0.73,1.28,1.97,0.77
197908,5.7,1.95,-1.26,0.77
197909,-0.69,-0.48,-1.14,0.83
197910,-8.13,-3.41,-2.26,0.87
197911,5.37,2.55,-3.29,0.99
197912,1.87,4.36,-2.3,0.95
198001,5.76,1.98,1.33,0.8
198002,-0.79,-2,0.03,0.89
198003,-13.23,-6.39,-0.73,1.21
198004,3.97,0.64,0.94,1.26
198005,5.2,2.19,0.49,0.81
198006,3.16,1.41,-1.35,0.61
198007,6.41,4.45,-6.06,0.53
198008,1.71,4.06,-2.33,0.64
198009,2.2,1.14,-4.4,0.75
